Year,FERU,Generalized FERU
1951,0.0367,0.0378
1951.25,0.0352,0.0366
1951.5,0.0352,0.0365
1951.75,0.0363,0.0375
1952,0.0354,0.0367
1952.25,0.0337,0.035
1952.5,0.035,0.0362
1952.75,0.0345,0.036
1953,0.0342,0.0358
1953.25,0.0322,0.0336
1953.5,0.0307,0.0319
1953.75,0.0317,0.0321
1954,0.0345,0.0341
1954.25,0.0346,0.034
1954.5,0.0343,0.0336
1954.75,0.0333,0.0328
1955,0.0342,0.0341
1955.25,0.0352,0.0354
1955.5,0.0358,0.0364
1955.75,0.0372,0.0378
1956,0.0373,0.038
1956.25,0.0372,0.0378
1956.5,0.0359,0.0365
1956.75,0.0362,0.0368
1957,0.0351,0.0357
1957.25,0.0342,0.0345
1957.5,0.0335,0.0337
1957.75,0.0321,0.0317
1958,0.034,0.0331
1958.25,0.0352,0.034
1958.5,0.0366,0.0354
1958.75,0.0352,0.0343
1959,0.0364,0.0359
1959.25,0.0364,0.0364
1959.5,0.037,0.0368
1959.75,0.037,0.0367
1960,0.0395,0.0396
1960.25,0.0383,0.0383
1960.5,0.0378,0.0376
1960.75,0.0382,0.0376
1961,0.0389,0.0381
1961.25,0.0404,0.0456
1961.5,0.0413,0.0466
1961.75,0.0415,0.0468
1962,0.0403,0.0455
1962.25,0.0401,0.0451
1962.5,0.0395,0.0445
1962.75,0.0387,0.0436
1963,0.0398,0.0449
1963.25,0.0392,0.0443
1963.5,0.0387,0.0436
1963.75,0.0395,0.0445
1964,0.0395,0.0446
1964.25,0.0396,0.0446
1964.5,0.0397,0.0447
1964.75,0.0402,0.0453
1965,0.041,0.0461
1965.25,0.0412,0.0463
1965.5,0.0409,0.046
1965.75,0.042,0.0472
1966,0.0423,0.0475
1966.25,0.0423,0.0475
1966.5,0.0418,0.0469
1966.75,0.0409,0.0459
1967,0.0413,0.0464
1967.25,0.0408,0.0458
1967.5,0.0403,0.0453
1967.75,0.0411,0.0461
1968,0.0407,0.0457
