Year,Baseline FERU,FERU with epsilon = 0.75,FERU with epsilon = 1.25,FERU with kappa = 0.75,FERU with kappa = 1.25,FERU with zeta = -0.25,FERU with zeta = 0.25
1930,0.0248,0.0199,0.0286,0.0215,0.0278,0.0222,0.0287
1930.25,0.0285,0.0222,0.0337,0.0247,0.0319,0.0255,0.033
1930.5,0.0378,0.0278,0.0467,0.0327,0.0423,0.0338,0.0437
1930.75,0.0462,0.0327,0.0588,0.04,0.0517,0.0413,0.0534
1931,0.0453,0.0322,0.0574,0.0392,0.0507,0.0405,0.0523
1931.25,0.0414,0.0295,0.0525,0.0359,0.0463,0.0371,0.0479
1931.5,0.0405,0.0284,0.0518,0.0351,0.0453,0.0362,0.0467
1931.75,0.0419,0.029,0.0542,0.0363,0.0468,0.0375,0.0484
1932,0.0423,0.029,0.0551,0.0366,0.0473,0.0378,0.0488
1932.25,0.0425,0.0284,0.0566,0.0368,0.0475,0.038,0.0491
1932.5,0.044,0.0291,0.0591,0.0381,0.0492,0.0394,0.0509
1932.75,0.0445,0.0295,0.0594,0.0385,0.0497,0.0398,0.0514
1933,0.0406,0.0269,0.0544,0.0352,0.0454,0.0363,0.0469
1933.25,0.0426,0.0284,0.0567,0.0369,0.0476,0.0381,0.0492
1933.5,0.0409,0.0277,0.0538,0.0354,0.0457,0.0366,0.0472
1933.75,0.0386,0.0262,0.0506,0.0334,0.0431,0.0345,0.0445
1934,0.0363,0.0251,0.047,0.0315,0.0406,0.0325,0.0419
1934.25,0.0353,0.0245,0.0456,0.0306,0.0395,0.0316,0.0408
1934.5,0.0367,0.025,0.0481,0.0318,0.041,0.0328,0.0424
1934.75,0.0383,0.0261,0.0502,0.0332,0.0428,0.0343,0.0442
1935,0.0357,0.0247,0.0462,0.0309,0.0399,0.0319,0.0412
1935.25,0.0358,0.0248,0.0464,0.031,0.0401,0.0321,0.0414
1935.5,0.0368,0.0257,0.0474,0.0319,0.0412,0.033,0.0425
1935.75,0.0362,0.0255,0.046,0.0313,0.0404,0.0323,0.0417
1936,0.0338,0.0243,0.0424,0.0293,0.0378,0.0302,0.039
1936.25,0.0356,0.0259,0.0443,0.0308,0.0398,0.0319,0.0411
1936.5,0.0348,0.0256,0.0429,0.0301,0.0389,0.0311,0.0402
1936.75,0.0354,0.0261,0.0435,0.0306,0.0396,0.0316,0.0408
1937,0.0345,0.0256,0.0423,0.0299,0.0386,0.0309,0.0398
1937.25,0.0347,0.0258,0.0426,0.0301,0.0388,0.0311,0.0401
1937.5,0.0324,0.0239,0.0399,0.0281,0.0362,0.029,0.0374
1937.75,0.0314,0.0225,0.0396,0.0272,0.0351,0.0281,0.0363
1938,0.0321,0.0225,0.0413,0.0278,0.0359,0.0288,0.0371
1938.25,0.0316,0.0218,0.0409,0.0273,0.0353,0.0282,0.0365
1938.5,0.0319,0.0222,0.0411,0.0277,0.0357,0.0286,0.0369
1938.75,0.0315,0.0222,0.0402,0.0273,0.0352,0.0282,0.0364
1939,0.0322,0.0227,0.0411,0.0279,0.036,0.0288,0.0372
1939.25,0.0322,0.0227,0.041,0.0278,0.036,0.0288,0.0371
1939.5,0.0314,0.0223,0.0398,0.0272,0.0351,0.0281,0.0362
1939.75,0.0324,0.0232,0.0408,0.0281,0.0363,0.029,0.0375
1940,0.0321,0.0231,0.0404,0.0278,0.0359,0.0287,0.0371
1940.25,0.0305,0.0219,0.0383,0.0264,0.0341,0.0273,0.0352
1940.5,0.0301,0.0218,0.0375,0.0261,0.0336,0.0269,0.0347
1940.75,0.0317,0.0232,0.0393,0.0275,0.0355,0.0284,0.0366
1941,0.0315,0.0237,0.0382,0.0273,0.0352,0.0282,0.0364
1941.25,0.0329,0.0252,0.0393,0.0285,0.0368,0.0294,0.038
1941.5,0.0313,0.0244,0.0368,0.0271,0.035,0.028,0.0361
1941.75,0.0276,0.0219,0.0321,0.0239,0.0308,0.0247,0.0319
1942,0.028,0.0226,0.0323,0.0243,0.0314,0.0251,0.0324
1942.25,0.0277,0.0229,0.0312,0.024,0.031,0.0248,0.032
1942.5,0.028,0.024,0.0308,0.0243,0.0313,0.0251,0.0324
1942.75,0.0302,0.0265,0.0325,0.0262,0.0338,0.027,0.0349
1943,0.0293,0.0264,0.031,0.0254,0.0328,0.0262,0.0339
1943.25,0.0294,0.0267,0.0308,0.0255,0.0329,0.0263,0.034
