Year,FERU3,FERU4,FERU5
1994,0.0448,0.0459,0.0487
1994.25,0.0444,0.0454,0.0482
1994.5,0.0441,0.0454,0.0483
1994.75,0.044,0.045,0.0481
1995,0.0428,0.0439,0.0468
1995.25,0.0426,0.0435,0.0463
1995.5,0.0432,0.0443,0.047
1995.75,0.0433,0.0444,0.0472
1996,0.0427,0.0438,0.0467
1996.25,0.0424,0.0432,0.0462
1996.5,0.0415,0.0425,0.0452
1996.75,0.0425,0.0434,0.0461
1997,0.0427,0.0436,0.0464
1997.25,0.0415,0.0422,0.0452
1997.5,0.0416,0.0425,0.0452
1997.75,0.0415,0.0425,0.0453
1998,0.0419,0.0429,0.0457
1998.25,0.041,0.042,0.0448
1998.5,0.0413,0.0423,0.0451
1998.75,0.0407,0.0417,0.0443
1999,0.0414,0.0423,0.045
1999.25,0.0405,0.0413,0.0441
1999.5,0.0401,0.0409,0.0435
1999.75,0.0397,0.0406,0.0434
2000,0.0406,0.0415,0.0442
2000.25,0.0391,0.0402,0.0427
2000.5,0.0386,0.0393,0.0419
2000.75,0.0375,0.0382,0.0409
2001,0.0389,0.0398,0.0422
2001.25,0.0376,0.0385,0.0405
2001.5,0.0379,0.0387,0.0409
2001.75,0.0383,0.0392,0.0413
2002,0.0377,0.0384,0.0403
2002.25,0.0376,0.0383,0.0404
2002.5,0.0368,0.0375,0.0396
2002.75,0.0372,0.0379,0.0398
2003,0.0363,0.0372,0.0391
2003.25,0.0364,0.0372,0.039
2003.5,0.0365,0.0373,0.0391
2003.75,0.0359,0.0366,0.0385
2004,0.0366,0.0375,0.0395
2004.25,0.0369,0.0378,0.0399
2004.5,0.0362,0.0373,0.0392
2004.75,0.0371,0.0377,0.0399
2005,0.0376,0.0386,0.0407
2005.25,0.037,0.0379,0.0401
2005.5,0.0371,0.0382,0.0404
2005.75,0.0376,0.0384,0.0409
2006,0.0369,0.0378,0.04
2006.25,0.0378,0.0388,0.0412
2006.5,0.0374,0.0384,0.0408
2006.75,0.0368,0.0376,0.0401
2007,0.0371,0.0382,0.0405
2007.25,0.0375,0.0384,0.0408
2007.5,0.0377,0.0386,0.0408
2007.75,0.0381,0.0388,0.0412
2008,0.0382,0.039,0.0411
2008.25,0.0379,0.0387,0.0408
2008.5,0.0382,0.0389,0.0409
2008.75,0.0381,0.0391,0.0408
2009,0.0395,0.0405,0.0421
2009.25,0.0385,0.0393,0.0406
2009.5,0.0384,0.0391,0.0405
2009.75,0.0399,0.0408,0.0423
2010,0.0415,0.0426,0.0439
2010.25,0.0429,0.0442,0.0457
2010.5,0.0427,0.0441,0.0455
2010.75,0.0439,0.0455,0.0469
2011,0.0429,0.0441,0.046
2011.25,0.0437,0.045,0.0468
2011.5,0.0451,0.0465,0.0483
2011.75,0.0452,0.0467,0.0487
2012,0.0449,0.0462,0.0483
2012.25,0.0453,0.0465,0.0487
2012.5,0.0445,0.0456,0.048
2012.75,0.0439,0.0453,0.0475
2013,0.0444,0.0457,0.048
2013.25,0.0444,0.0459,0.0481
2013.5,0.0433,0.0449,0.047
2013.75,0.0431,0.0445,0.0468
2014,0.0425,0.0436,0.0462
2014.25,0.0427,0.0441,0.0467
2014.5,0.0443,0.0459,0.0484
2014.75,0.0424,0.0438,0.0467
2015,0.0433,0.0449,0.0476
2015.25,0.0434,0.0449,0.0477
2015.5,0.0426,0.0442,0.0468
2015.75,0.0425,0.0439,0.0467
2016,0.0426,0.0441,0.0469
2016.25,0.0428,0.0441,0.0468
2016.5,0.0422,0.0434,0.0463
2016.75,0.0417,0.043,0.0458
2017,0.0408,0.0421,0.0447
2017.25,0.0401,0.0413,0.044
2017.5,0.0411,0.0423,0.045
2017.75,0.0406,0.0419,0.0446
2018,0.0403,0.0416,0.0444
2018.25,0.0409,0.0421,0.0449
2018.5,0.0409,0.0425,0.0455
2018.75,0.0418,0.043,0.0463
2019,0.0418,0.043,0.046
2019.25,0.0403,0.0417,0.0447
2019.5,0.0396,0.0408,0.0436
2019.75,0.0394,0.0401,0.0429
2020,0.0403,0.0417,0.0443
2020.25,0.0665,0.0673,0.0693
2020.5,0.059,0.0601,0.0623
2020.75,0.0531,0.0544,0.0572
2021,0.0531,0.0544,0.0574
2021.25,0.0583,0.0599,0.063
2021.5,0.058,0.0596,0.0631
2021.75,0.0535,0.0551,0.0593
2022,0.0516,0.0533,0.0571
2022.25,0.0511,0.0529,0.0569
2022.5,0.0485,0.0502,0.0541
2022.75,0.0481,0.0496,0.0532
2023,0.0468,0.0481,0.0517
2023.25,0.0453,0.0465,0.0501
2023.5,0.0448,0.046,0.0492
2023.75,0.0447,0.0462,0.0494
2024,0.0447,0.0458,0.0493
2024.25,0.0441,0.0451,0.0483
