Year,U3 gap,U4 gap,U5 gap
1994,0.0209,0.0234,0.0303
1994.25,0.0176,0.0199,0.0261
1994.5,0.0159,0.0183,0.0247
1994.75,0.0124,0.0143,0.0202
1995,0.0119,0.0138,0.0195
1995.25,0.0141,0.0158,0.0214
1995.5,0.0134,0.0154,0.0207
1995.75,0.0124,0.0143,0.0198
1996,0.0126,0.0146,0.0203
1996.25,0.0126,0.0141,0.0198
1996.5,0.0111,0.0128,0.0178
1996.75,0.0108,0.0123,0.0173
1997,0.0096,0.011,0.016
1997.25,0.0085,0.0098,0.0148
1997.5,0.0071,0.0085,0.0128
1997.75,0.0052,0.0065,0.011
1998,0.0044,0.0057,0.0099
1998.25,0.003,0.0043,0.0082
1998.5,0.004,0.0054,0.0095
1998.75,0.0036,0.005,0.0087
1999,0.0016,0.0027,0.0063
1999.25,0.0022,0.0031,0.0069
1999.5,0.0023,0.0034,0.0068
1999.75,0.001,0.0021,0.0056
2000,-0.0002,0.0008,0.0041
2000.25,0.0003,0.0015,0.0047
2000.5,0.0014,0.0023,0.0057
2000.75,0.0015,0.0024,0.0058
2001,0.0034,0.0046,0.0081
2001.25,0.0064,0.0078,0.0111
2001.5,0.0104,0.0117,0.0158
2001.75,0.0167,0.0185,0.0231
2002,0.0193,0.0209,0.0254
2002.25,0.0207,0.0224,0.0276
2002.5,0.0205,0.0222,0.0274
2002.75,0.0214,0.0231,0.0279
2003,0.0224,0.0245,0.0296
2003.25,0.025,0.0271,0.032
2003.5,0.0248,0.0267,0.0319
2003.75,0.0225,0.0244,0.0295
2004,0.0204,0.0225,0.0275
2004.25,0.0191,0.0212,0.0261
2004.5,0.0181,0.0204,0.0251
2004.75,0.0173,0.0186,0.0237
2005,0.0154,0.0174,0.0223
2005.25,0.014,0.0158,0.0205
2005.5,0.0125,0.0145,0.019
2005.75,0.0121,0.0136,0.0185
2006,0.0104,0.0119,0.016
2006.25,0.0085,0.0102,0.0144
2006.5,0.0089,0.0106,0.0149
2006.75,0.0075,0.0087,0.0129
2007,0.0079,0.0095,0.0135
2007.25,0.0075,0.0089,0.0129
2007.5,0.0089,0.0104,0.0142
2007.75,0.0099,0.0112,0.0155
2008,0.0118,0.0133,0.0175
2008.25,0.0154,0.017,0.0216
2008.5,0.0218,0.0237,0.0288
2008.75,0.0305,0.0333,0.0388
2009,0.0431,0.0465,0.0529
2009.25,0.0545,0.0584,0.0647
2009.5,0.058,0.0613,0.0685
2009.75,0.0594,0.0635,0.0707
2010,0.0568,0.0618,0.0681
2010.25,0.0535,0.0591,0.0653
2010.5,0.052,0.0576,0.0638
2010.75,0.0511,0.0572,0.0634
2011,0.0474,0.0519,0.0594
2011.25,0.047,0.0517,0.0589
2011.5,0.0449,0.0499,0.057
2011.75,0.0411,0.0459,0.053
2012,0.0378,0.0421,0.0491
2012.25,0.0367,0.0405,0.0476
2012.5,0.0358,0.0394,0.047
2012.75,0.0341,0.0383,0.0452
2013,0.0329,0.0366,0.0437
2013.25,0.0309,0.0351,0.0416
2013.5,0.029,0.0331,0.0393
2013.75,0.0262,0.0298,0.0362
2014,0.0242,0.0271,0.0338
2014.25,0.0193,0.0225,0.0286
2014.5,0.0163,0.0194,0.0249
2014.75,0.0146,0.0175,0.0236
2015,0.012,0.0148,0.0201
2015.25,0.0109,0.0134,0.0187
2015.5,0.0084,0.0108,0.0155
2015.75,0.0078,0.0101,0.0147
2016,0.0064,0.0086,0.0131
2016.25,0.0065,0.0085,0.0129
2016.5,0.0068,0.0086,0.0134
2016.75,0.006,0.008,0.0125
2017,0.0048,0.0066,0.0106
2017.25,0.0035,0.005,0.009
2017.5,0.0022,0.0037,0.0074
2017.75,0.0011,0.0027,0.0064
2018,0,0.0014,0.005
2018.25,-0.0016,-0.0004,0.0028
2018.5,-0.0033,-0.0018,0.0015
2018.75,-0.0035,-0.0024,0.0011
2019,-0.0031,-0.002,0.0013
2019.25,-0.004,-0.0027,0.0003
2019.5,-0.0036,-0.0025,0.0004
2019.75,-0.0034,-0.0028,0.0001
2020,-0.002,-0.0007,0.0024
2020.25,0.0635,0.0663,0.0737
2020.5,0.029,0.0316,0.0371
2020.75,0.0142,0.0166,0.0218
2021,0.0092,0.0112,0.0163
2021.25,0.001,0.0028,0.007
2021.5,-0.0073,-0.006,-0.0025
2021.75,-0.0118,-0.0108,-0.0076
2022,-0.0136,-0.0127,-0.0101
2022.25,-0.0148,-0.0139,-0.0115
2022.5,-0.0132,-0.0122,-0.0097
2022.75,-0.0124,-0.0116,-0.0092
2023,-0.0118,-0.0111,-0.0087
2023.25,-0.0097,-0.0089,-0.0061
2023.5,-0.0078,-0.007,-0.0042
2023.75,-0.0074,-0.0062,-0.0034
2024,-0.0067,-0.0058,-0.0027
2024.25,-0.0041,-0.0031,0.0001
