Timeline,FERU,NRU,NRUST,NAIRU
1930,0.0248,0,0,0
1930.25,0.0285,0,0,0
1930.5,0.0378,0,0,0
1930.75,0.0462,0,0,0
1931,0.0453,0,0,0
1931.25,0.0414,0,0,0
1931.5,0.0405,0,0,0
1931.75,0.0419,0,0,0
1932,0.0423,0,0,0
1932.25,0.0425,0,0,0
1932.5,0.044,0,0,0
1932.75,0.0445,0,0,0
1933,0.0406,0,0,0
1933.25,0.0426,0,0,0
1933.5,0.0409,0,0,0
1933.75,0.0386,0,0,0
1934,0.0363,0,0,0
1934.25,0.0353,0,0,0
1934.5,0.0367,0,0,0
1934.75,0.0383,0,0,0
1935,0.0357,0,0,0
1935.25,0.0358,0,0,0
1935.5,0.0368,0,0,0
1935.75,0.0362,0,0,0
1936,0.0338,0,0,0
1936.25,0.0356,0,0,0
1936.5,0.0348,0,0,0
1936.75,0.0354,0,0,0
1937,0.0345,0,0,0
1937.25,0.0347,0,0,0
1937.5,0.0324,0,0,0
1937.75,0.0314,0,0,0
1938,0.0321,0,0,0
1938.25,0.0316,0,0,0
1938.5,0.0319,0,0,0
1938.75,0.0315,0,0,0
1939,0.0322,0,0,0
1939.25,0.0322,0,0,0
1939.5,0.0314,0,0,0
1939.75,0.0324,0,0,0
1940,0.0321,0,0,0
1940.25,0.0305,0,0,0
1940.5,0.0301,0,0,0
1940.75,0.0317,0,0,0
1941,0.0315,0,0,0
1941.25,0.0329,0,0,0
1941.5,0.0313,0,0,0
1941.75,0.0276,0,0,0
1942,0.028,0,0,0
1942.25,0.0277,0,0,0
1942.5,0.028,0,0,0
1942.75,0.0302,0,0,0
1943,0.0293,0,0,0
1943.25,0.0294,0,0,0
1943.5,0.0305,0,0,0
1943.75,0.0274,0,0,0
1944,0.027,0,0,0
1944.25,0.0292,0,0,0
1944.5,0.0261,0,0,0
1944.75,0.0253,0,0,0
1945,0.0267,0,0,0
1945.25,0.0275,0,0,0
1945.5,0.0361,0,0,0
1945.75,0.0418,0,0,0
1946,0.0422,0,0,0
1946.25,0.0419,0,0,0
1946.5,0.0418,0,0,0
1946.75,0.0428,0,0,0
1947,0.0408,0,0,0
1947.25,0.0413,0,0,0
1947.5,0.0421,0,0,0
1947.75,0.0409,0,0,0
1948,0.036,0,0,0
1948.25,0.035,0,0,0
1948.5,0.0353,0,0,0
1948.75,0.0333,0,0,0
1949,0.033,0.0526,0.0526,0
1949.25,0.0351,0.0526,0.0526,0
1949.5,0.035,0.0527,0.0527,0
1949.75,0.0338,0.0527,0.0527,0
1950,0.0348,0.0528,0.0528,0
1950.25,0.0341,0.0529,0.0529,0
1950.5,0.0344,0.0529,0.0529,0
1950.75,0.0349,0.053,0.053,0
1951,0.0367,0.0531,0.0531,0
1951.25,0.0352,0.0531,0.0531,0
1951.5,0.0352,0.0532,0.0532,0
1951.75,0.0363,0.0533,0.0533,0
1952,0.0354,0.0533,0.0533,0
1952.25,0.0337,0.0534,0.0534,0
1952.5,0.035,0.0534,0.0534,0
1952.75,0.0345,0.0535,0.0535,0
1953,0.0342,0.0535,0.0535,0
1953.25,0.0322,0.0536,0.0536,0
1953.5,0.0307,0.0536,0.0536,0
1953.75,0.0317,0.0537,0.0537,0
1954,0.0345,0.0537,0.0537,0
1954.25,0.0346,0.0537,0.0537,0
1954.5,0.0343,0.0538,0.0538,0
1954.75,0.0333,0.0538,0.0538,0
1955,0.0342,0.0538,0.0538,0
1955.25,0.0352,0.0538,0.0538,0
1955.5,0.0358,0.0539,0.0539,0
1955.75,0.0372,0.0539,0.0539,0
1956,0.0373,0.0539,0.0539,0
1956.25,0.0372,0.0539,0.0539,0
1956.5,0.0359,0.054,0.054,0
1956.75,0.0362,0.054,0.054,0
1957,0.0351,0.054,0.054,0
1957.25,0.0342,0.054,0.054,0
1957.5,0.0335,0.0541,0.0541,0
1957.75,0.0321,0.0541,0.0541,0
1958,0.034,0.0541,0.0541,0
1958.25,0.0352,0.0542,0.0542,0
1958.5,0.0366,0.0542,0.0542,0
1958.75,0.0352,0.0543,0.0543,0
1959,0.0364,0.0543,0.0543,0
1959.25,0.0364,0.0544,0.0544,0
1959.5,0.037,0.0544,0.0544,0
1959.75,0.037,0.0545,0.0545,0
1960,0.0395,0.0546,0.0546,0.0555
1960.25,0.0383,0.0546,0.0546,0.0548
1960.5,0.0378,0.0547,0.0547,0.055
1960.75,0.0382,0.0548,0.0548,0.0572
1961,0.0389,0.0548,0.0548,0.0586
1961.25,0.0404,0.0549,0.0549,0.0596
1961.5,0.0413,0.055,0.055,0.059
1961.75,0.0415,0.0551,0.0551,0.0573
1962,0.0403,0.0551,0.0551,0.0554
1962.25,0.0401,0.0552,0.0552,0.0558
1962.5,0.0395,0.0553,0.0553,0.0562
1962.75,0.0387,0.0554,0.0554,0.056
1963,0.0398,0.0555,0.0555,0.0574
1963.25,0.0392,0.0556,0.0556,0.0572
1963.5,0.0387,0.0557,0.0557,0.0558
1963.75,0.0395,0.0558,0.0558,0.0564
1964,0.0395,0.056,0.056,0.0566
1964.25,0.0396,0.0561,0.0561,0.0557
1964.5,0.0397,0.0562,0.0562,0.0556
1964.75,0.0402,0.0563,0.0563,0.0558
1965,0.041,0.0565,0.0565,0.0561
1965.25,0.0412,0.0566,0.0566,0.0556
1965.5,0.0409,0.0567,0.0567,0.0551
1965.75,0.042,0.0569,0.0569,0.0548
1966,0.0423,0.057,0.057,0.0546
1966.25,0.0423,0.0571,0.0571,0.0546
1966.5,0.0418,0.0572,0.0572,0.0554
1966.75,0.0409,0.0573,0.0573,0.0554
1967,0.0413,0.0575,0.0575,0.0562
1967.25,0.0408,0.0576,0.0576,0.0563
1967.5,0.0403,0.0577,0.0577,0.056
1967.75,0.0411,0.0578,0.0578,0.0571
1968,0.0407,0.0579,0.0579,0.0569
1968.25,0.0402,0.058,0.058,0.0566
1968.5,0.0409,0.0582,0.0582,0.0574
1968.75,0.0413,0.0583,0.0583,0.0574
1969,0.0418,0.0584,0.0584,0.0581
1969.25,0.042,0.0585,0.0585,0.0586
1969.5,0.0421,0.0586,0.0586,0.0596
1969.75,0.0418,0.0588,0.0588,0.0593
1970,0.0428,0.0589,0.0589,0.0621
1970.25,0.043,0.059,0.059,0.0643
1970.5,0.0429,0.0592,0.0592,0.065
1970.75,0.0436,0.0593,0.0593,0.0679
1971,0.0435,0.0595,0.0595,0.0685
1971.25,0.0439,0.0596,0.0596,0.0689
1971.5,0.0447,0.0598,0.0598,0.0703
1971.75,0.0448,0.0599,0.0599,0.07
1972,0.0458,0.0601,0.0601,0.0706
1972.25,0.0464,0.0603,0.0603,0.0712
1972.5,0.0472,0.0604,0.0604,0.0714
1972.75,0.0488,0.0606,0.0606,0.0716
1973,0.0487,0.0607,0.0607,0.0708
1973.25,0.0484,0.0609,0.0609,0.0721
1973.5,0.0477,0.061,0.061,0.0727
1973.75,0.047,0.0611,0.0611,0.0732
1974,0.0475,0.0613,0.0613,0.0758
1974.25,0.0479,0.0614,0.0614,0.0765
1974.5,0.0476,0.0615,0.0615,0.0781
1974.75,0.0467,0.0616,0.0616,0.0815
1975,0.0479,0.0617,0.0617,0.0882
1975.25,0.0494,0.0618,0.0618,0.0898
1975.5,0.0497,0.0619,0.0619,0.0872
1975.75,0.0502,0.062,0.062,0.0875
1976,0.0501,0.062,0.062,0.0847
1976.25,0.0502,0.0621,0.0621,0.0843
1976.5,0.0505,0.0622,0.0622,0.086
1976.75,0.0515,0.0622,0.0622,0.0863
1977,0.0524,0.0623,0.0623,0.0851
1977.25,0.0526,0.0623,0.0623,0.0836
1977.5,0.053,0.0624,0.0624,0.0829
1977.75,0.0541,0.0624,0.0624,0.0824
1978,0.054,0.0624,0.0624,0.0811
1978.25,0.0543,0.0624,0.0624,0.0795
1978.5,0.0546,0.0624,0.0624,0.0801
1978.75,0.055,0.0624,0.0624,0.0797
1979,0.0541,0.0624,0.0624,0.08
1979.25,0.0539,0.0623,0.0623,0.0789
1979.5,0.0544,0.0623,0.0623,0.08
1979.75,0.0545,0.0622,0.0622,0.0801
1980,0.0539,0.0622,0.0622,0.0812
1980.25,0.0527,0.0621,0.0621,0.0866
1980.5,0.0539,0.062,0.062,0.0872
1980.75,0.0542,0.062,0.062,0.0853
1981,0.0534,0.0619,0.0619,0.0856
1981.25,0.0531,0.0618,0.0618,0.0846
1981.5,0.0523,0.0617,0.0617,0.083
1981.75,0.052,0.0616,0.0616,0.0853
1982,0.0518,0.0615,0.0615,0.0855
1982.25,0.0508,0.0614,0.0614,0.0855
1982.5,0.0488,0.0613,0.0613,0.0853
1982.75,0.0497,0.0612,0.0612,0.0868
1983,0.0504,0.0611,0.0611,0.0827
1983.25,0.0522,0.061,0.061,0.0813
1983.5,0.0527,0.0609,0.0609,0.0768
1983.75,0.0535,0.0609,0.0609,0.0727
1984,0.0534,0.0608,0.0608,0.0691
1984.25,0.0537,0.0607,0.0607,0.0658
1984.5,0.0541,0.0606,0.0606,0.0645
1984.75,0.0539,0.0605,0.0605,0.0627
1985,0.0538,0.0604,0.0604,0.0611
1985.25,0.0542,0.0603,0.0603,0.0604
1985.5,0.054,0.0602,0.0602,0.0583
1985.75,0.0532,0.0601,0.0601,0.0554
1986,0.0526,0.06,0.06,0.0542
1986.25,0.0532,0.0599,0.0599,0.0532
1986.5,0.0524,0.0597,0.0597,0.0511
1986.75,0.0522,0.0596,0.0596,0.0504
1987,0.0517,0.0595,0.0595,0.049
1987.25,0.0517,0.0593,0.0593,0.0478
1987.5,0.0514,0.0592,0.0592,0.0473
1987.75,0.051,0.059,0.059,0.0473
1988,0.0495,0.0589,0.0589,0.0475
1988.25,0.049,0.0587,0.0587,0.0474
1988.5,0.0487,0.0585,0.0585,0.0485
1988.75,0.0483,0.0583,0.0583,0.0488
1989,0.0467,0.0581,0.0581,0.0488
1989.25,0.0466,0.0579,0.0579,0.0495
1989.5,0.0457,0.0577,0.0577,0.0498
1989.75,0.0463,0.0575,0.0575,0.0513
1990,0.045,0.0573,0.0573,0.0517
1990.25,0.044,0.0571,0.0571,0.0516
1990.5,0.0442,0.0569,0.0569,0.053
1990.75,0.0427,0.0567,0.0567,0.0537
1991,0.0416,0.0566,0.0566,0.055
1991.25,0.0417,0.0564,0.0564,0.0554
1991.5,0.0411,0.0562,0.0562,0.0543
1991.75,0.0411,0.056,0.056,0.0544
1992,0.0418,0.0559,0.0559,0.0551
1992.25,0.0429,0.0557,0.0557,0.0553
1992.5,0.0429,0.0555,0.0555,0.0546
1992.75,0.0428,0.0554,0.0554,0.0531
1993,0.0423,0.0552,0.0552,0.0521
1993.25,0.0426,0.0551,0.0551,0.0524
1993.5,0.0425,0.0549,0.0549,0.0513
1993.75,0.0432,0.0548,0.0548,0.0508
1994,0.0448,0.0547,0.0547,0.0509
1994.25,0.0444,0.0545,0.0545,0.0492
1994.5,0.0441,0.0544,0.0544,0.049
1994.75,0.044,0.0543,0.0543,0.0474
1995,0.0428,0.0542,0.0542,0.0468
1995.25,0.0426,0.0541,0.0541,0.0483
1995.5,0.0432,0.054,0.054,0.0482
1995.75,0.0433,0.0539,0.0539,0.0478
1996,0.0427,0.0538,0.0538,0.0483
1996.25,0.0424,0.0537,0.0537,0.0489
1996.5,0.0415,0.0536,0.0536,0.0481
1996.75,0.0425,0.0535,0.0535,0.0493
1997,0.0427,0.0534,0.0534,0.0495
1997.25,0.0415,0.0533,0.0533,0.0493
1997.5,0.0416,0.0532,0.0532,0.0498
1997.75,0.0415,0.0531,0.0531,0.0498
1998,0.0419,0.053,0.053,0.0502
1998.25,0.041,0.0529,0.0529,0.049
1998.5,0.0413,0.0529,0.0529,0.0504
1998.75,0.0407,0.0528,0.0528,0.0502
1999,0.0414,0.0527,0.0527,0.0492
