Year,Unemployment rate,Vacancy rate,Unemployment rate: branch 1,Vacancy rate: branch 1,Unemployment rate: branch 2,Vacancy rate: branch 2,Unemployment rate: branch 3,Vacancy rate: branch 3,Unemployment rate: branch 4,Vacancy rate: branch 4,Unemployment rate: branch 5,Vacancy rate: branch 5,Unemployment rate: branch 6,Vacancy rate: branch 6
1951,0.035,0.0385,0.035,0.0385,0,0,0,0,0,0,0,0,0,0
1951.25,0.031,0.0401,0.031,0.0401,0,0,0,0,0,0,0,0,0,0
1951.5,0.0317,0.0391,0.0317,0.0391,0,0,0,0,0,0,0,0,0,0
1951.75,0.0337,0.0391,0.0337,0.0391,0,0,0,0,0,0,0,0,0,0
1952,0.0307,0.0408,0.0307,0.0408,0,0,0,0,0,0,0,0,0,0
1952.25,0.0297,0.0383,0.0297,0.0383,0,0,0,0,0,0,0,0,0,0
1952.5,0.0323,0.0379,0.0323,0.0379,0,0,0,0,0,0,0,0,0,0
1952.75,0.0283,0.042,0.0283,0.042,0,0,0,0,0,0,0,0,0,0
1953,0.027,0.0432,0.027,0.0432,0,0,0,0,0,0,0,0,0,0
1953.25,0.0257,0.0403,0.0257,0.0403,0,0,0,0,0,0,0,0,0,0
1953.5,0.0273,0.0346,0.0273,0.0346,0,0,0,0,0,0,0,0,0,0
1953.75,0.037,0.0271,0.037,0.0271,0,0,0,0,0,0,0,0,0,0
1954,0.0527,0.0226,0.0527,0.0226,0,0,0,0,0,0,0,0,0,0
1954.25,0.058,0.0206,0.058,0.0206,0,0,0,0,0,0,0,0,0,0
1954.5,0.0597,0.0197,0.0597,0.0197,0,0,0,0,0,0,0,0,0,0
1954.75,0.0533,0.0208,0.0533,0.0208,0,0,0,0,0,0,0,0,0,0
1955,0.0473,0.0247,0.0473,0.0247,0,0,0,0,0,0,0,0,0,0
1955.25,0.044,0.0281,0.044,0.0281,0,0,0,0,0,0,0,0,0,0
1955.5,0.041,0.0313,0.041,0.0313,0,0,0,0,0,0,0,0,0,0
1955.75,0.0423,0.0328,0.0423,0.0328,0,0,0,0,0,0,0,0,0,0
1956,0.0403,0.0344,0.0403,0.0344,0,0,0,0,0,0,0,0,0,0
1956.25,0.042,0.033,0.042,0.033,0,0,0,0,0,0,0,0,0,0
1956.5,0.0413,0.0313,0.0413,0.0313,0,0,0,0,0,0,0,0,0,0
1956.75,0.0413,0.0318,0.0413,0.0318,0,0,0,0,0,0,0,0,0,0
1957,0.0393,0.0314,0.0393,0.0314,0,0,0,0,0,0,0,0,0,0
1957.25,0.041,0.0285,0.041,0.0285,0,0,0,0,0,0,0,0,0,0
1957.5,0.0423,0.0265,0.0423,0.0265,0,0,0,0,0,0,0,0,0,0
1957.75,0.0493,0.0208,0.0493,0.0208,0,0,0,0,0,0,0,0,0,0
1958,0.063,0.0184,0.063,0.0184,0,0,0,0,0,0,0,0,0,0
1958.25,0.0737,0.0169,0.0737,0.0169,0,0,0,0,0,0,0,0,0,0
1958.5,0.0733,0.0182,0.0733,0.0182,0,0,0,0,0,0,0,0,0,0
1958.75,0.0637,0.0194,0.0637,0.0194,0,0,0,0,0,0,0,0,0,0
1959,0.0583,0.0227,0.0583,0.0227,0,0,0,0,0,0,0,0,0,0
1959.25,0.051,0.026,0.051,0.026,0,0,0,0,0,0,0,0,0,0
1959.5,0.0527,0.0259,0.0527,0.0259,0,0,0,0,0,0,0,0,0,0
1959.75,0.056,0.0245,0.056,0.0245,0,0,0,0,0,0,0,0,0,0
1960,0.0513,0.0303,0.0513,0.0303,0,0,0,0,0,0,0,0,0,0
1960.25,0.0523,0.028,0.0523,0.028,0,0,0,0,0,0,0,0,0,0
1960.5,0.0553,0.0258,0.0553,0.0258,0,0,0,0,0,0,0,0,0,0
1960.75,0.0627,0.0233,0.0627,0.0233,0,0,0,0,0,0,0,0,0,0
1961,0.068,0.0223,0.068,0.0223,0,0,0,0,0,0,0,0,0,0
1961.25,0.07,0.0233,0,0,0.07,0.0233,0,0,0,0,0,0,0,0
1961.5,0.0677,0.0252,0,0,0.0677,0.0252,0,0,0,0,0,0,0,0
1961.75,0.062,0.0277,0,0,0.062,0.0277,0,0,0,0,0,0,0,0
1962,0.0563,0.0289,0,0,0.0563,0.0289,0,0,0,0,0,0,0,0
1962.25,0.0553,0.029,0,0,0.0553,0.029,0,0,0,0,0,0,0,0
1962.5,0.0557,0.028,0,0,0.0557,0.028,0,0,0,0,0,0,0,0
1962.75,0.0553,0.027,0,0,0.0553,0.027,0,0,0,0,0,0,0,0
1963,0.0577,0.0275,0,0,0.0577,0.0275,0,0,0,0,0,0,0,0
1963.25,0.0573,0.0269,0,0,0.0573,0.0269,0,0,0,0,0,0,0,0
1963.5,0.055,0.0272,0,0,0.055,0.0272,0,0,0,0,0,0,0,0
1963.75,0.0557,0.028,0,0,0.0557,0.028,0,0,0,0,0,0,0,0
1964,0.0547,0.0286,0,0,0.0547,0.0286,0,0,0,0,0,0,0,0
1964.25,0.052,0.0302,0,0,0.052,0.0302,0,0,0,0,0,0,0,0
1964.5,0.05,0.0315,0,0,0.05,0.0315,0,0,0,0,0,0,0,0
1964.75,0.0497,0.0325,0,0,0.0497,0.0325,0,0,0,0,0,0,0,0
1965,0.049,0.0343,0,0,0.049,0.0343,0,0,0,0,0,0,0,0
1965.25,0.0467,0.0363,0,0,0.0467,0.0363,0,0,0,0,0,0,0,0
1965.5,0.0437,0.0383,0,0,0.0437,0.0383,0,0,0,0,0,0,0,0
1965.75,0.041,0.043,0,0,0.041,0.043,0,0,0,0,0,0,0,0
1966,0.0387,0.0463,0,0,0.0387,0.0463,0,0,0,0,0,0,0,0
1966.25,0.0383,0.0468,0,0,0.0383,0.0468,0,0,0,0,0,0,0,0
1966.5,0.0377,0.0463,0,0,0.0377,0.0463,0,0,0,0,0,0,0,0
1966.75,0.037,0.0452,0,0,0.037,0.0452,0,0,0,0,0,0,0,0
1967,0.0383,0.0445,0,0,0.0383,0.0445,0,0,0,0,0,0,0,0
1967.25,0.0383,0.0434,0,0,0.0383,0.0434,0,0,0,0,0,0,0,0
1967.5,0.038,0.0427,0,0,0.038,0.0427,0,0,0,0,0,0,0,0
1967.75,0.039,0.0433,0,0,0.039,0.0433,0,0,0,0,0,0,0,0
1968,0.0373,0.0444,0,0,0.0373,0.0444,0,0,0,0,0,0,0,0
1968.25,0.0357,0.0453,0,0,0.0357,0.0453,0,0,0,0,0,0,0,0
1968.5,0.0353,0.0473,0,0,0.0353,0.0473,0,0,0,0,0,0,0,0
1968.75,0.034,0.0502,0,0,0.034,0.0502,0,0,0,0,0,0,0,0
1969,0.034,0.0515,0,0,0.034,0.0515,0,0,0,0,0,0,0,0
1969.25,0.0343,0.0513,0,0,0.0343,0.0513,0,0,0,0,0,0,0,0
1969.5,0.0357,0.0497,0,0,0.0357,0.0497,0,0,0,0,0,0,0,0
1969.75,0.0357,0.0489,0,0,0.0357,0.0489,0,0,0,0,0,0,0,0
1970,0.0417,0.0439,0,0,0.0417,0.0439,0,0,0,0,0,0,0,0
1970.25,0.0477,0.0388,0,0,0.0477,0.0388,0,0,0,0,0,0,0,0
1970.5,0.0517,0.0357,0,0,0.0517,0.0357,0,0,0,0,0,0,0,0
1970.75,0.0583,0.0326,0,0,0.0583,0.0326,0,0,0,0,0,0,0,0
1971,0.0593,0.0319,0,0,0.0593,0.0319,0,0,0,0,0,0,0,0
1971.25,0.059,0.0327,0,0,0.059,0.0327,0,0,0,0,0,0,0,0
1971.5,0.0603,0.0331,0,0,0.0603,0.0331,0,0,0,0,0,0,0,0
1971.75,0.0593,0.0338,0,0,0.0593,0.0338,0,0,0,0,0,0,0,0
1972,0.0577,0.0364,0,0,0,0,0.0577,0.0364,0,0,0,0,0,0
1972.25,0.057,0.0378,0,0,0,0,0.057,0.0378,0,0,0,0,0,0
1972.5,0.0557,0.0401,0,0,0,0,0.0557,0.0401,0,0,0,0,0,0
1972.75,0.0537,0.0444,0,0,0,0,0.0537,0.0444,0,0,0,0,0,0
1973,0.0493,0.0481,0,0,0,0,0.0493,0.0481,0,0,0,0,0,0
1973.25,0.0493,0.0475,0,0,0,0,0.0493,0.0475,0,0,0,0,0,0
1973.5,0.048,0.0475,0,0,0,0,0.048,0.0475,0,0,0,0,0,0
1973.75,0.0477,0.0463,0,0,0,0,0.0477,0.0463,0,0,0,0,0,0
1974,0.0513,0.0439,0,0,0,0,0.0513,0.0439,0,0,0,0,0,0
1974.25,0.052,0.0442,0,0,0,0,0.052,0.0442,0,0,0,0,0,0
1974.5,0.0563,0.0402,0,0,0,0,0.0563,0.0402,0,0,0,0,0,0
1974.75,0.066,0.0331,0,0,0,0,0.066,0.0331,0,0,0,0,0,0
1975,0.0827,0.0278,0,0,0,0,0.0827,0.0278,0,0,0,0,0,0
1975.25,0.0887,0.0275,0,0,0,0,0.0887,0.0275,0,0,0,0,0,0
1975.5,0.0847,0.0292,0,0,0,0,0.0847,0.0292,0,0,0,0,0,0
1975.75,0.083,0.0303,0,0,0,0,0.083,0.0303,0,0,0,0,0,0
1976,0.0773,0.0324,0,0,0,0,0.0773,0.0324,0,0,0,0,0,0
1976.25,0.0757,0.0333,0,0,0,0,0.0757,0.0333,0,0,0,0,0,0
1976.5,0.0773,0.033,0,0,0,0,0.0773,0.033,0,0,0,0,0,0
1976.75,0.0777,0.0341,0,0,0,0,0.0777,0.0341,0,0,0,0,0,0
1977,0.075,0.0366,0,0,0,0,0.075,0.0366,0,0,0,0,0,0
1977.25,0.0713,0.0388,0,0,0,0,0.0713,0.0388,0,0,0,0,0,0
1977.5,0.069,0.0407,0,0,0,0,0.069,0.0407,0,0,0,0,0,0
1977.75,0.0667,0.0439,0,0,0,0,0.0667,0.0439,0,0,0,0,0,0
1978,0.0633,0.046,0,0,0,0,0.0633,0.046,0,0,0,0,0,0
1978.25,0.06,0.0491,0,0,0,0,0.06,0.0491,0,0,0,0,0,0
1978.5,0.0603,0.0495,0,0,0,0,0.0603,0.0495,0,0,0,0,0,0
1978.75,0.059,0.0513,0,0,0,0,0.059,0.0513,0,0,0,0,0,0
1979,0.0587,0.0499,0,0,0,0,0.0587,0.0499,0,0,0,0,0,0
1979.25,0.057,0.051,0,0,0,0,0.057,0.051,0,0,0,0,0,0
1979.5,0.0587,0.0505,0,0,0,0,0.0587,0.0505,0,0,0,0,0,0
1979.75,0.0597,0.0497,0,0,0,0,0.0597,0.0497,0,0,0,0,0,0
1980,0.063,0.046,0,0,0,0,0.063,0.046,0,0,0,0,0,0
1980.25,0.0733,0.0379,0,0,0,0,0.0733,0.0379,0,0,0,0,0,0
1980.5,0.0767,0.0378,0,0,0,0,0.0767,0.0378,0,0,0,0,0,0
1980.75,0.074,0.0396,0,0,0,0,0.074,0.0396,0,0,0,0,0,0
1981,0.0743,0.0384,0,0,0,0,0.0743,0.0384,0,0,0,0,0,0
1981.25,0.074,0.0381,0,0,0,0,0.074,0.0381,0,0,0,0,0,0
1981.5,0.074,0.037,0,0,0,0,0.074,0.037,0,0,0,0,0,0
1981.75,0.0823,0.0329,0,0,0,0,0.0823,0.0329,0,0,0,0,0,0
1982,0.0883,0.0304,0,0,0,0,0.0883,0.0304,0,0,0,0,0,0
1982.25,0.0943,0.0274,0,0,0,0,0.0943,0.0274,0,0,0,0,0,0
1982.5,0.099,0.024,0,0,0,0,0.099,0.024,0,0,0,0,0,0
1982.75,0.1067,0.0232,0,0,0,0,0.1067,0.0232,0,0,0,0,0,0
1983,0.1037,0.0245,0,0,0,0,0.1037,0.0245,0,0,0,0,0,0
1983.25,0.1013,0.0269,0,0,0,0,0.1013,0.0269,0,0,0,0,0,0
1983.5,0.0937,0.0296,0,0,0,0,0.0937,0.0296,0,0,0,0,0,0
1983.75,0.0853,0.0335,0,0,0,0,0.0853,0.0335,0,0,0,0,0,0
1984,0.0787,0.0363,0,0,0,0,0.0787,0.0363,0,0,0,0,0,0
1984.25,0.0743,0.0388,0,0,0,0,0.0743,0.0388,0,0,0,0,0,0
1984.5,0.0743,0.0394,0,0,0,0,0.0743,0.0394,0,0,0,0,0,0
1984.75,0.073,0.0399,0,0,0,0,0.073,0.0399,0,0,0,0,0,0
1985,0.0723,0.04,0,0,0,0,0.0723,0.04,0,0,0,0,0,0
1985.25,0.073,0.0402,0,0,0,0,0.073,0.0402,0,0,0,0,0,0
1985.5,0.072,0.0404,0,0,0,0,0.072,0.0404,0,0,0,0,0,0
1985.75,0.0703,0.0402,0,0,0,0,0.0703,0.0402,0,0,0,0,0,0
1986,0.0703,0.0393,0,0,0,0,0.0703,0.0393,0,0,0,0,0,0
1986.25,0.0717,0.0395,0,0,0,0,0.0717,0.0395,0,0,0,0,0,0
1986.5,0.0697,0.0394,0,0,0,0,0.0697,0.0394,0,0,0,0,0,0
1986.75,0.0683,0.0399,0,0,0,0,0.0683,0.0399,0,0,0,0,0,0
1987,0.066,0.0405,0,0,0,0,0.066,0.0405,0,0,0,0,0,0
1987.25,0.0627,0.0426,0,0,0,0,0.0627,0.0426,0,0,0,0,0,0
1987.5,0.06,0.0441,0,0,0,0,0.06,0.0441,0,0,0,0,0,0
1987.75,0.0583,0.0446,0,0,0,0,0.0583,0.0446,0,0,0,0,0,0
1988,0.057,0.0431,0,0,0,0,0.057,0.0431,0,0,0,0,0,0
1988.25,0.0547,0.0438,0,0,0,0,0.0547,0.0438,0,0,0,0,0,0
1988.5,0.0547,0.0434,0,0,0,0,0.0547,0.0434,0,0,0,0,0,0
1988.75,0.0533,0.0437,0,0,0,0,0.0533,0.0437,0,0,0,0,0,0
1989,0.052,0.0419,0,0,0,0,0.052,0.0419,0,0,0,0,0,0
1989.25,0.0523,0.0414,0,0,0,0,0,0,0.0523,0.0414,0,0,0,0
1989.5,0.0523,0.04,0,0,0,0,0,0,0.0523,0.04,0,0,0,0
1989.75,0.0537,0.04,0,0,0,0,0,0,0.0537,0.04,0,0,0,0
1990,0.053,0.0382,0,0,0,0,0,0,0.053,0.0382,0,0,0,0
1990.25,0.0533,0.0363,0,0,0,0,0,0,0.0533,0.0363,0,0,0,0
1990.5,0.057,0.0343,0,0,0,0,0,0,0.057,0.0343,0,0,0,0
1990.75,0.0613,0.0297,0,0,0,0,0,0,0.0613,0.0297,0,0,0,0
1991,0.066,0.0262,0,0,0,0,0,0,0.066,0.0262,0,0,0,0
1991.25,0.0683,0.0254,0,0,0,0,0,0,0.0683,0.0254,0,0,0,0
1991.5,0.0687,0.0246,0,0,0,0,0,0,0.0687,0.0246,0,0,0,0
1991.75,0.071,0.0238,0,0,0,0,0,0,0.071,0.0238,0,0,0,0
1992,0.0737,0.0237,0,0,0,0,0,0,0.0737,0.0237,0,0,0,0
1992.25,0.076,0.0242,0,0,0,0,0,0,0.076,0.0242,0,0,0,0
1992.5,0.0763,0.0241,0,0,0,0,0,0,0.0763,0.0241,0,0,0,0
1992.75,0.0737,0.0249,0,0,0,0,0,0,0.0737,0.0249,0,0,0,0
1993,0.0713,0.0251,0,0,0,0,0,0,0.0713,0.0251,0,0,0,0
1993.25,0.0707,0.0257,0,0,0,0,0,0,0.0707,0.0257,0,0,0,0
1993.5,0.068,0.0266,0,0,0,0,0,0,0.068,0.0266,0,0,0,0
1993.75,0.0663,0.0281,0,0,0,0,0,0,0.0663,0.0281,0,0,0,0
1994,0.0657,0.0305,0,0,0,0,0,0,0.0657,0.0305,0,0,0,0
1994.25,0.062,0.0317,0,0,0,0,0,0,0.062,0.0317,0,0,0,0
1994.5,0.06,0.0324,0,0,0,0,0,0,0.06,0.0324,0,0,0,0
1994.75,0.0563,0.0343,0,0,0,0,0,0,0.0563,0.0343,0,0,0,0
1995,0.0547,0.0335,0,0,0,0,0,0,0.0547,0.0335,0,0,0,0
1995.25,0.0567,0.032,0,0,0,0,0,0,0.0567,0.032,0,0,0,0
1995.5,0.0567,0.033,0,0,0,0,0,0,0.0567,0.033,0,0,0,0
1995.75,0.0557,0.0336,0,0,0,0,0,0,0.0557,0.0336,0,0,0,0
1996,0.0553,0.033,0,0,0,0,0,0,0.0553,0.033,0,0,0,0
1996.25,0.055,0.0327,0,0,0,0,0,0,0.055,0.0327,0,0,0,0
1996.5,0.0527,0.0327,0,0,0,0,0,0,0.0527,0.0327,0,0,0,0
1996.75,0.0533,0.0339,0,0,0,0,0,0,0.0533,0.0339,0,0,0,0
1997,0.0523,0.0349,0,0,0,0,0,0,0.0523,0.0349,0,0,0,0
1997.25,0.05,0.0344,0,0,0,0,0,0,0.05,0.0344,0,0,0,0
1997.5,0.0487,0.0355,0,0,0,0,0,0,0.0487,0.0355,0,0,0,0
1997.75,0.0467,0.0369,0,0,0,0,0,0,0.0467,0.0369,0,0,0,0
1998,0.0463,0.038,0,0,0,0,0,0,0.0463,0.038,0,0,0,0
1998.25,0.044,0.0381,0,0,0,0,0,0,0.044,0.0381,0,0,0,0
1998.5,0.0453,0.0376,0,0,0,0,0,0,0.0453,0.0376,0,0,0,0
1998.75,0.0443,0.0374,0,0,0,0,0,0,0.0443,0.0374,0,0,0,0
1999,0.043,0.0398,0,0,0,0,0,0,0.043,0.0398,0,0,0,0
