Year,Tightness
1951,1.1
1951.25,1.29
1951.5,1.24
1951.75,1.16
1952,1.33
1952.25,1.29
1952.5,1.17
1952.75,1.48
1953,1.6
1953.25,1.57
1953.5,1.26
1953.75,0.73
1954,0.43
1954.25,0.36
1954.5,0.33
1954.75,0.39
1955,0.52
1955.25,0.64
1955.5,0.76
1955.75,0.77
1956,0.85
1956.25,0.79
1956.5,0.76
1956.75,0.77
1957,0.8
1957.25,0.69
1957.5,0.63
1957.75,0.42
1958,0.29
1958.25,0.23
1958.5,0.25
1958.75,0.31
1959,0.39
1959.25,0.51
1959.5,0.49
1959.75,0.44
1960,0.59
1960.25,0.54
1960.5,0.47
1960.75,0.37
1961,0.33
1961.25,0.33
1961.5,0.37
1961.75,0.45
1962,0.51
1962.25,0.52
1962.5,0.5
1962.75,0.49
1963,0.48
1963.25,0.47
1963.5,0.5
1963.75,0.5
1964,0.52
1964.25,0.58
1964.5,0.63
1964.75,0.66
1965,0.7
1965.25,0.78
1965.5,0.88
1965.75,1.05
1966,1.2
1966.25,1.22
1966.5,1.23
1966.75,1.22
1967,1.16
1967.25,1.13
1967.5,1.12
1967.75,1.11
1968,1.19
1968.25,1.27
1968.5,1.34
1968.75,1.48
1969,1.51
1969.25,1.5
1969.5,1.39
1969.75,1.37
1970,1.05
1970.25,0.81
1970.5,0.69
1970.75,0.56
1971,0.54
1971.25,0.55
1971.5,0.55
1971.75,0.57
1972,0.63
1972.25,0.66
1972.5,0.72
1972.75,0.83
1973,0.98
1973.25,0.96
1973.5,0.99
1973.75,0.97
1974,0.85
1974.25,0.85
1974.5,0.71
1974.75,0.5
1975,0.34
1975.25,0.31
1975.5,0.34
1975.75,0.37
1976,0.42
1976.25,0.44
1976.5,0.43
1976.75,0.44
1977,0.49
1977.25,0.54
1977.5,0.59
1977.75,0.66
1978,0.73
1978.25,0.82
1978.5,0.82
1978.75,0.87
1979,0.85
1979.25,0.9
1979.5,0.86
1979.75,0.83
1980,0.73
1980.25,0.52
1980.5,0.49
1980.75,0.54
1981,0.52
1981.25,0.51
1981.5,0.5
1981.75,0.4
1982,0.34
1982.25,0.29
1982.5,0.24
1982.75,0.22
1983,0.24
1983.25,0.27
1983.5,0.32
1983.75,0.39
1984,0.46
1984.25,0.52
1984.5,0.53
1984.75,0.55
1985,0.55
1985.25,0.55
1985.5,0.56
1985.75,0.57
1986,0.56
1986.25,0.55
1986.5,0.57
1986.75,0.58
1987,0.61
1987.25,0.68
1987.5,0.73
1987.75,0.76
1988,0.76
1988.25,0.8
1988.5,0.79
1988.75,0.82
1989,0.81
1989.25,0.79
1989.5,0.76
1989.75,0.75
1990,0.72
1990.25,0.68
1990.5,0.6
1990.75,0.48
1991,0.4
1991.25,0.37
1991.5,0.36
1991.75,0.33
1992,0.32
1992.25,0.32
1992.5,0.32
1992.75,0.34
1993,0.35
1993.25,0.36
1993.5,0.39
1993.75,0.42
1994,0.46
1994.25,0.51
1994.5,0.54
1994.75,0.61
1995,0.61
1995.25,0.57
1995.5,0.58
1995.75,0.6
1996,0.6
1996.25,0.59
1996.5,0.62
1996.75,0.63
1997,0.67
1997.25,0.69
1997.5,0.73
1997.75,0.79
1998,0.82
1998.25,0.87
1998.5,0.83
1998.75,0.84
1999,0.93
1999.25,0.9
1999.5,0.9
1999.75,0.95
2000,1.01
2000.25,0.99
2000.5,0.93
2000.75,0.92
2001,0.84
2001.25,0.73
2001.5,0.62
2001.75,0.49
2002,0.44
2002.25,0.42
2002.5,0.41
2002.75,0.4
2003,0.38
2003.25,0.35
2003.5,0.35
2003.75,0.38
2004,0.41
2004.25,0.43
2004.5,0.44
2004.75,0.47
2005,0.5
2005.25,0.53
2005.5,0.56
2005.75,0.57
2006,0.61
2006.25,0.67
2006.5,0.65
2006.75,0.69
2007,0.68
2007.25,0.69
2007.5,0.65
2007.75,0.63
2008,0.58
2008.25,0.51
2008.5,0.4
2008.75,0.31
2009,0.23
2009.25,0.17
2009.5,0.16
2009.75,0.16
2010,0.18
2010.25,0.2
2010.5,0.2
2010.75,0.21
2011,0.23
2011.25,0.23
2011.5,0.25
2011.75,0.27
2012,0.29
2012.25,0.3
2012.5,0.31
2012.75,0.32
2013,0.33
2013.25,0.35
2013.5,0.36
2013.75,0.39
2014,0.41
2014.25,0.47
2014.5,0.53
2014.75,0.55
2015,0.61
2015.25,0.64
2015.5,0.7
2015.75,0.71
2016,0.76
2016.25,0.75
2016.5,0.74
2016.75,0.76
2017,0.8
2017.25,0.84
2017.5,0.9
2017.75,0.95
2018,1
2018.25,1.08
2018.5,1.18
2018.75,1.19
2019,1.17
2019.25,1.23
2019.5,1.21
2019.75,1.2
