Year,Unemployment rate,Vacancy rate
1930,0.0363,0.017
1930.25,0.0518,0.0157
1930.5,0.1034,0.0138
1930.75,0.1661,0.0129
1931,0.1569,0.0131
1931.25,0.1434,0.012
1931.5,0.1519,0.0108
1931.75,0.1738,0.0101
1932,0.1876,0.0095
1932.25,0.2282,0.0079
1932.5,0.2529,0.0077
1932.75,0.2468,0.008
1933,0.2294,0.0072
1933.25,0.2282,0.0079
1933.5,0.1969,0.0085
1933.75,0.1815,0.0082
1934,0.1518,0.0087
1934.25,0.1452,0.0086
1934.5,0.1714,0.0079
1934.75,0.1796,0.0082
1935,0.1501,0.0085
1935.25,0.1495,0.0086
1935.5,0.1459,0.0093
1935.75,0.1301,0.01
1936,0.1077,0.0106
1936.25,0.1036,0.0122
1936.5,0.0937,0.0129
1936.75,0.0938,0.0133
1937,0.0889,0.0134
1937.25,0.0883,0.0137
1937.5,0.0862,0.0122
1937.75,0.1038,0.0095
1938,0.1252,0.0083
1938.25,0.1321,0.0075
1938.5,0.1266,0.0081
1938.75,0.1149,0.0086
1939,0.1189,0.0087
1939.25,0.1169,0.0088
1939.5,0.1093,0.009
1939.75,0.1057,0.01
1940,0.1035,0.01
1940.25,0.0978,0.0095
1940.5,0.0905,0.01
1940.75,0.0886,0.0114
1941,0.0731,0.0136
1941.25,0.0666,0.0162
1941.5,0.0556,0.0176
1941.75,0.0443,0.0172
1942,0.0408,0.0193
1942.25,0.0327,0.0234
1942.5,0.0265,0.0296
1942.75,0.024,0.0381
1943,0.0196,0.0439
1943.25,0.0181,0.0477
1943.5,0.0185,0.0502
1943.75,0.0146,0.0516
1944,0.0128,0.057
1944.25,0.0138,0.0616
1944.5,0.0128,0.053
1944.75,0.0097,0.0658
1945,0.0107,0.067
1945.25,0.0116,0.0657
1945.5,0.0208,0.0628
1945.75,0.0342,0.0509
1946,0.0382,0.0467
1946.25,0.0389,0.0452
1946.5,0.0376,0.0466
1946.75,0.0434,0.0422
1947,0.0413,0.0403
1947.25,0.0456,0.0374
1947.5,0.0462,0.0383
1947.75,0.0433,0.0386
1948,0.0373,0.0346
1948.25,0.0367,0.0334
1948.5,0.0377,0.033
1948.75,0.0383,0.0289
1949,0.0467,0.0233
1949.25,0.0587,0.021
1949.5,0.067,0.0183
1949.75,0.0697,0.0164
1950,0.064,0.0189
1950.25,0.0557,0.0209
1950.5,0.0463,0.0256
1950.75,0.0423,0.0287
