Year,Unemployment rate,FERU,Unemployment gap
1930,0.0363,0.0248,0.0115
1930.25,0.0518,0.0285,0.0233
1930.5,0.1034,0.0378,0.0656
1930.75,0.1661,0.0462,0.1199
1931,0.1569,0.0453,0.1115
1931.25,0.1434,0.0414,0.102
1931.5,0.1519,0.0405,0.1115
1931.75,0.1738,0.0419,0.1319
1932,0.1876,0.0423,0.1454
1932.25,0.2282,0.0425,0.1857
1932.5,0.2529,0.044,0.2089
1932.75,0.2468,0.0445,0.2023
1933,0.2294,0.0406,0.1888
1933.25,0.2282,0.0426,0.1857
1933.5,0.1969,0.0409,0.156
1933.75,0.1815,0.0386,0.143
1934,0.1518,0.0363,0.1155
1934.25,0.1452,0.0353,0.1099
1934.5,0.1714,0.0367,0.1347
1934.75,0.1796,0.0383,0.1413
1935,0.1501,0.0357,0.1144
1935.25,0.1495,0.0358,0.1137
1935.5,0.1459,0.0368,0.109
1935.75,0.1301,0.0362,0.094
1936,0.1077,0.0338,0.0739
1936.25,0.1036,0.0356,0.068
1936.5,0.0937,0.0348,0.0589
1936.75,0.0938,0.0354,0.0584
1937,0.0889,0.0345,0.0544
1937.25,0.0883,0.0347,0.0536
1937.5,0.0862,0.0324,0.0538
1937.75,0.1038,0.0314,0.0724
1938,0.1252,0.0321,0.093
1938.25,0.1321,0.0316,0.1005
1938.5,0.1266,0.0319,0.0947
1938.75,0.1149,0.0315,0.0834
1939,0.1189,0.0322,0.0867
1939.25,0.1169,0.0322,0.0848
1939.5,0.1093,0.0314,0.0779
1939.75,0.1057,0.0324,0.0732
1940,0.1035,0.0321,0.0714
1940.25,0.0978,0.0305,0.0673
1940.5,0.0905,0.0301,0.0604
1940.75,0.0886,0.0317,0.0569
1941,0.0731,0.0315,0.0415
1941.25,0.0666,0.0329,0.0337
1941.5,0.0556,0.0313,0.0244
1941.75,0.0443,0.0276,0.0167
1942,0.0408,0.028,0.0127
1942.25,0.0327,0.0277,0.005
1942.5,0.0265,0.028,-0.0015
1942.75,0.024,0.0302,-0.0062
1943,0.0196,0.0293,-0.0098
1943.25,0.0181,0.0294,-0.0113
1943.5,0.0185,0.0305,-0.012
1943.75,0.0146,0.0274,-0.0128
1944,0.0128,0.027,-0.0142
1944.25,0.0138,0.0292,-0.0154
1944.5,0.0128,0.0261,-0.0132
1944.75,0.0097,0.0253,-0.0156
1945,0.0107,0.0267,-0.0161
1945.25,0.0116,0.0275,-0.016
1945.5,0.0208,0.0361,-0.0153
1945.75,0.0342,0.0418,-0.0075
1946,0.0382,0.0422,-0.0041
1946.25,0.0389,0.0419,-0.003
1946.5,0.0376,0.0418,-0.0043
1946.75,0.0434,0.0428,0.0006
1947,0.0413,0.0408,0.0005
1947.25,0.0456,0.0413,0.0043
1947.5,0.0462,0.0421,0.0041
1947.75,0.0433,0.0409,0.0024
1948,0.0373,0.036,0.0014
1948.25,0.0367,0.035,0.0016
1948.5,0.0377,0.0353,0.0024
1948.75,0.0383,0.0333,0.005
1949,0.0467,0.033,0.0137
1949.25,0.0587,0.0351,0.0236
1949.5,0.067,0.035,0.032
1949.75,0.0697,0.0338,0.0359
1950,0.064,0.0348,0.0292
1950.25,0.0557,0.0341,0.0216
1950.5,0.0463,0.0344,0.0119
1950.75,0.0423,0.0349,0.0075
