Year,Unemployment rate,Vacancy rate,FERU
2020,0.0383,0.0424,0.0403
2020.25,0.13,0.0341,0.0665
2020.5,0.088,0.0395,0.059
2020.75,0.0673,0.0419,0.0531
2021,0.0623,0.0453,0.0531
2021.25,0.0593,0.0574,0.0583
2021.5,0.0507,0.0664,0.058
2021.75,0.0417,0.0687,0.0535
2022,0.038,0.0701,0.0516
2022.25,0.0363,0.072,0.0511
2022.5,0.0353,0.0666,0.0485
2022.75,0.0357,0.0648,0.0481
2023,0.035,0.0627,0.0468
2023.25,0.0357,0.0576,0.0453
2023.5,0.037,0.0543,0.0448
2023.75,0.0373,0.0535,0.0447
2024,0.038,0.0526,0.0447
2024.25,0.04,0.0486,0.0441
