"The data on this page were constructed as part of the paper ""Building a composite Help-Wanted Index"" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.",,
Update (02/2017): ,,
"Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, ""A Cautionary Note on the Help Wanted Online Data""), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. ",,
"The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).",,
,,
See the paper for details and construction methods for the composite HWI over 1951-2000.,,
,,
year,V_hwi,V/LF
1951.00,2313.197608,3.73
1951.08,2295.689006,3.72
1951.17,2554.677439,4.09
1951.25,2502.487739,4.05
1951.33,2534.983959,4.09
1951.42,2392.152707,3.88
1951.50,2388.251431,3.85
1951.58,2404.265856,3.88
1951.67,2478.510656,4.01
1951.75,2472.520638,3.97
1951.83,2430.5735,3.92
1951.92,2401.748939,3.85
1952.00,2550.836801,4.09
1952.08,2584.925183,4.14
1952.17,2476.143675,4.01
1952.25,2453.282325,3.97
1952.33,2409.351825,3.88
1952.42,2261.84041,3.64
1952.50,2153.606877,3.48
1952.58,2310.807517,3.73
1952.67,2598.045727,4.16
1952.75,2600.743454,4.20
1952.83,2726.54475,4.36
1952.92,2535.404554,4.05
1953.00,2650.622745,4.18
1953.08,2759.697654,4.34
1953.17,2824.493385,4.44
1953.25,2615.901714,4.14
1953.33,2581.465948,4.12
1953.42,2413.393424,3.83
1953.50,2226.639068,3.53
1953.58,2171.676027,3.46
1953.67,2122.21197,3.38
1953.75,1917.74047,3.05
1953.83,1734.036587,2.75
1953.92,1462.779153,2.33
1954.00,1493.239137,2.37
1954.08,1431.554149,2.24
1954.17,1379.88229,2.16
1954.25,1335.652473,2.09
1954.33,1306.697575,2.05
1954.42,1299.884484,2.05
1954.50,1275.636926,2.02
1954.58,1260.242393,1.98
1954.67,1234.560559,1.92
1954.75,1264.772437,1.98
1954.83,1367.359268,2.14
1954.92,1334.363141,2.11
1955.00,1524.199028,2.38
1955.08,1519.095311,2.38
1955.17,1688.875729,2.64
1955.25,1742.715273,2.70
1955.33,1856.801461,2.88
1955.42,1835.871892,2.85
1955.50,1999.27405,3.07
1955.58,2085.401272,3.18
1955.67,2062.629589,3.14
1955.75,2178.214575,3.31
1955.83,2221.988854,3.36
1955.92,2100.591331,3.16
1956.00,2345.356428,3.53
1956.08,2334.939527,3.53
1956.17,2165.461013,3.27
1956.25,2180.624079,3.29
1956.33,2220.366742,3.33
1956.42,2195.037838,3.29
1956.50,2097.955907,3.14
1956.58,2083.146696,3.12
1956.67,2084.427709,3.12
1956.75,2152.995673,3.24
1956.83,2131.940204,3.20
1956.92,2059.327683,3.09
1957.00,2186.021012,3.29
1957.08,2052.489818,3.07
1957.17,2041.162583,3.05
1957.25,1885.190266,2.83
1957.33,1923.539141,2.88
1957.42,1896.646176,2.83
1957.50,1904.679456,2.83
1957.58,1738.870198,2.61
1957.67,1686.209432,2.51
1957.75,1475.477253,2.20
1957.83,1389.86473,2.07
1957.92,1333.257206,1.98
1958.00,1327.263305,1.98
1958.08,1217.544839,1.81
1958.17,1155.803463,1.72
1958.25,1100.561626,1.63
1958.33,1129.700848,1.66
1958.42,1201.091885,1.77
1958.50,1253.910537,1.85
1958.58,1257.848419,1.85
1958.67,1206.913296,1.77
1958.75,1270.576284,1.87
1958.83,1350.908903,2.00
1958.92,1327.499023,1.96
1959.00,1456.938146,2.14
1959.08,1525.823729,2.26
1959.17,1635.948,2.40
1959.25,1705.632806,2.50
1959.33,1777.241813,2.61
1959.42,1842.963779,2.70
1959.50,1850.008706,2.70
1959.58,1758.559981,2.57
1959.67,1723.446641,2.51
1959.75,1666.769048,2.42
1959.83,1735.815105,2.53
1959.92,1658.203507,2.40
1960.00,2116.416257,3.07
1960.08,2116.017292,3.07
1960.17,2023.265554,2.96
1960.25,1980.988964,2.85
1960.33,1956.582597,2.81
1960.42,1913.52102,2.74
1960.50,1843.878365,2.64
1960.58,1820.592353,2.61
1960.67,1750.857446,2.50
1960.75,1679.593789,2.40
1960.83,1653.864995,2.35
1960.92,1574.745356,2.24
1961.00,1575.908603,2.24
1961.08,1549.266516,2.20
1961.17,1581.635356,2.24
1961.25,1584.872739,2.26
1961.33,1654.170228,2.35
1961.42,1677.276169,2.37
1961.50,1721.344957,2.44
1961.58,1786.496762,2.53
1961.67,1817.412282,2.59
1961.75,1915.756554,2.72
1961.83,1977.658588,2.81
1961.92,1956.30066,2.79
1962.00,2050.261679,2.92
1962.08,2017.63697,2.87
1962.17,2017.780249,2.87
1962.25,2013.88304,2.87
1962.33,2086.922441,2.96
1962.42,2020.645845,2.87
1962.50,2014.570783,2.87
1962.58,1981.537125,2.79
1962.67,1946.87507,2.74
1962.75,1914.195821,2.70
1962.83,1912.954187,2.70
1962.92,1912.495322,2.70
1963.00,1946.683537,2.74
1963.08,1949.857507,2.74
1963.17,1980.671716,2.77
1963.25,1948.504761,2.72
1963.33,1912.333369,2.66
1963.42,1920.091183,2.68
1963.50,1982.149623,2.75
1963.58,1950.923509,2.72
1963.67,1946.96418,2.70
1963.75,2017.828503,2.79
1963.83,1981.487763,2.74
1963.92,2081.961818,2.88
1964.00,2086.807078,2.88
1964.08,2055.925759,2.83
1964.17,2083.660284,2.87
1964.25,2181.016388,2.98
1964.33,2184.617979,2.98
1964.42,2254.824878,3.09
1964.50,2321.539633,3.18
1964.58,2284.515773,3.12
1964.67,2316.989068,3.16
1964.75,2317.55812,3.16
1964.83,2425.253845,3.31
1964.92,2417.595496,3.29
1965.00,2448.22039,3.33
1965.08,2553.385703,3.46
1965.17,2583.909284,3.49
1965.25,2621.104156,3.53
1965.33,2725.877713,3.66
1965.42,2751.415159,3.70
1965.50,2764.319582,3.70
1965.58,2855.52168,3.83
1965.67,2961.348668,3.97
1965.75,3057.719191,4.09
1965.83,3263.467822,4.36
1965.92,3331.914506,4.44
1966.00,3363.841305,4.47
1966.08,3436.605239,4.58
1966.17,3636.468122,4.84
1966.25,3495.996273,4.64
1966.33,3528.951173,4.68
1966.42,3566.276753,4.71
1966.50,3570.472539,4.71
1966.58,3528.850415,4.64
1966.67,3459.009387,4.55
1966.75,3465.512994,4.55
1966.83,3470.041744,4.53
1966.92,3428.938386,4.47
1967.00,3457.186499,4.51
1967.08,3423.569554,4.47
1967.17,3330.266881,4.36
1967.25,3364.05151,4.38
1967.33,3335.489105,4.34
1967.42,3328.510918,4.31
1967.50,3265.26113,4.22
1967.58,3361.917843,4.33
1967.67,3323.086994,4.27
1967.75,3397.226044,4.34
1967.83,3368.184253,4.31
1967.92,3395.618353,4.33
1968.00,3470.860011,4.47
1968.08,3427.715978,4.38
1968.17,3501.193908,4.47
