DATE,LNU05026645
1994-01-01,600
1994-02-01,489
1994-03-01,533
1994-04-01,502
1994-05-01,436
1994-06-01,532
1994-07-01,542
1994-08-01,489
1994-09-01,521
1994-10-01,460
1994-11-01,447
1994-12-01,445
1995-01-01,440
1995-02-01,439
1995-03-01,454
1995-04-01,385
1995-05-01,398
1995-06-01,364
1995-07-01,456
1995-08-01,410
1995-09-01,341
1995-10-01,412
1995-11-01,401
1995-12-01,425
1996-01-01,409
1996-02-01,455
1996-03-01,451
1996-04-01,403
1996-05-01,352
1996-06-01,414
1996-07-01,423
1996-08-01,415
1996-09-01,391
1996-10-01,374
1996-11-01,346
1996-12-01,334
1997-01-01,397
1997-02-01,364
1997-03-01,356
1997-04-01,379
1997-05-01,338
1997-06-01,353
1997-07-01,311
1997-08-01,311
1997-09-01,328
1997-10-01,302
1997-11-01,331
1997-12-01,345
1998-01-01,374
1998-02-01,361
1998-03-01,343
1998-04-01,344
1998-05-01,268
1998-06-01,311
1998-07-01,374
1998-08-01,280
1998-09-01,317
1998-10-01,333
1998-11-01,310
1998-12-01,358
1999-01-01,339
1999-02-01,271
1999-03-01,295
1999-04-01,245
1999-05-01,256
1999-06-01,220
1999-07-01,290
1999-08-01,265
1999-09-01,289
1999-10-01,271
1999-11-01,272
1999-12-01,267
2000-01-01,236
2000-02-01,267
2000-03-01,258
2000-04-01,331
2000-05-01,280
2000-06-01,309
2000-07-01,266
2000-08-01,203
2000-09-01,253
2000-10-01,232
2000-11-01,236
2000-12-01,269
2001-01-01,301
2001-02-01,287
2001-03-01,349
2001-04-01,349
2001-05-01,328
2001-06-01,294
2001-07-01,310
2001-08-01,337
2001-09-01,285
2001-10-01,331
2001-11-01,328
2001-12-01,348
2002-01-01,328
2002-02-01,375
2002-03-01,330
2002-04-01,320
2002-05-01,414
2002-06-01,342
2002-07-01,405
2002-08-01,378
2002-09-01,392
2002-10-01,359
2002-11-01,385
2002-12-01,403
2003-01-01,449
2003-02-01,450
2003-03-01,474
2003-04-01,437
2003-05-01,482
2003-06-01,478
2003-07-01,470
2003-08-01,503
2003-09-01,388
2003-10-01,462
2003-11-01,457
2003-12-01,433
2004-01-01,432
2004-02-01,484
2004-03-01,514
2004-04-01,492
2004-05-01,476
2004-06-01,478
2004-07-01,504
2004-08-01,534
2004-09-01,412
2004-10-01,429
2004-11-01,392
2004-12-01,442
2005-01-01,515
2005-02-01,485
2005-03-01,480
2005-04-01,393
2005-05-01,392
2005-06-01,476
2005-07-01,499
2005-08-01,384
2005-09-01,362
2005-10-01,392
2005-11-01,404
2005-12-01,451
2006-01-01,396
2006-02-01,386
2006-03-01,451
2006-04-01,381
2006-05-01,323
2006-06-01,481
2006-07-01,428
2006-08-01,448
2006-09-01,325
2006-10-01,331
2006-11-01,349
2006-12-01,274
2007-01-01,442
2007-02-01,375
2007-03-01,381
2007-04-01,399
2007-05-01,368
2007-06-01,401
2007-07-01,367
2007-08-01,392
2007-09-01,276
2007-10-01,320
2007-11-01,349
2007-12-01,363
2008-01-01,467
2008-02-01,396
2008-03-01,401
2008-04-01,412
2008-05-01,400
2008-06-01,420
2008-07-01,461
2008-08-01,381
2008-09-01,467
2008-10-01,484
2008-11-01,608
2008-12-01,642
2009-01-01,734
2009-02-01,731
2009-03-01,685
2009-04-01,740
2009-05-01,792
2009-06-01,793
2009-07-01,796
2009-08-01,758
2009-09-01,706
2009-10-01,808
2009-11-01,861
2009-12-01,929
2010-01-01,1065
2010-02-01,1204
2010-03-01,994
2010-04-01,1197
2010-05-01,1083
2010-06-01,1207
2010-07-01,1185
2010-08-01,1110
2010-09-01,1209
2010-10-01,1219
2010-11-01,1282
2010-12-01,1318
2011-01-01,993
2011-02-01,1020
2011-03-01,921
2011-04-01,989
2011-05-01,822
2011-06-01,982
2011-07-01,1119
2011-08-01,977
2011-09-01,1037
2011-10-01,967
2011-11-01,1096
2011-12-01,945
2012-01-01,1059
2012-02-01,1006
2012-03-01,865
2012-04-01,968
2012-05-01,830
2012-06-01,821
2012-07-01,852
2012-08-01,844
2012-09-01,802
2012-10-01,813
2012-11-01,979
2012-12-01,1068
2013-01-01,804
2013-02-01,885
2013-03-01,803
2013-04-01,835
2013-05-01,780
2013-06-01,1027
2013-07-01,988
2013-08-01,866
2013-09-01,852
2013-10-01,815
2013-11-01,762
2013-12-01,917
2014-01-01,837
2014-02-01,755
2014-03-01,698
2014-04-01,783
2014-05-01,697
2014-06-01,676
2014-07-01,741
2014-08-01,775
2014-09-01,698
2014-10-01,770
2014-11-01,698
2014-12-01,740
2015-01-01,682
2015-02-01,732
2015-03-01,738
2015-04-01,756
2015-05-01,563
2015-06-01,653
2015-07-01,668
2015-08-01,624
2015-09-01,635
2015-10-01,665
2015-11-01,594
2015-12-01,663
2016-01-01,623
2016-02-01,599
2016-03-01,585
2016-04-01,568
2016-05-01,538
2016-06-01,502
2016-07-01,591
2016-08-01,576
2016-09-01,553
2016-10-01,487
2016-11-01,591
2016-12-01,426
2017-01-01,532
2017-02-01,522
2017-03-01,460
2017-04-01,455
2017-05-01,355
2017-06-01,514
2017-07-01,536
2017-08-01,448
2017-09-01,421
2017-10-01,524
2017-11-01,469
2017-12-01,474
2018-01-01,451
2018-02-01,373
2018-03-01,450
2018-04-01,408
2018-05-01,378
2018-06-01,359
2018-07-01,512
2018-08-01,434
2018-09-01,383
2018-10-01,506
2018-11-01,453
2018-12-01,375
2019-01-01,426
2019-02-01,428
2019-03-01,412
2019-04-01,454
2019-05-01,338
2019-06-01,425
2019-07-01,368
2019-08-01,467
2019-09-01,321
2019-10-01,341
2019-11-01,325
2019-12-01,277
2020-01-01,350
2020-02-01,421
2020-03-01,514
2020-04-01,585
2020-05-01,598
2020-06-01,684
2020-07-01,701
2020-08-01,551
2020-09-01,556
2020-10-01,594
2020-11-01,674
2020-12-01,661
2021-01-01,638
2021-02-01,529
2021-03-01,488
2021-04-01,573
2021-05-01,551
2021-06-01,631
2021-07-01,539
2021-08-01,367
2021-09-01,409
2021-10-01,460
2021-11-01,471
2021-12-01,468
2022-01-01,422
2022-02-01,393
2022-03-01,330
2022-04-01,477
2022-05-01,379
2022-06-01,386
2022-07-01,472
2022-08-01,337
2022-09-01,462
2022-10-01,373
2022-11-01,430
2022-12-01,421
2023-01-01,349
2023-02-01,361
2023-03-01,303
2023-04-01,386
2023-05-01,396
2023-06-01,320
2023-07-01,381
2023-08-01,364
2023-09-01,351
2023-10-01,428
2023-11-01,455
2023-12-01,350
2024-01-01,466
2024-02-01,425
2024-03-01,286
2024-04-01,380
2024-05-01,445
2024-06-01,369
