,Source:,figure6.m,,,,,,,,,,
Year,Quarter,Beveridge elasticty,Low end of 95% confidence interval for Beveridge elasticity,High end of 95% confidence interval  for Beveridge elasticity,,,,,,,,
1951,1,0.844,0.713,0.974,,,,,,,,
1951,2,0.844,0.713,0.974,,,,,,,,
1951,3,0.844,0.713,0.974,,,,,,,,
1951,4,0.844,0.713,0.974,,,,,,,,
1952,1,0.844,0.713,0.974,,,,,,,,
1952,2,0.844,0.713,0.974,,,,,,,,
1952,3,0.844,0.713,0.974,,,,,,,,
1952,4,0.844,0.713,0.974,,,,,,,,
1953,1,0.844,0.713,0.974,,,,,,,,
1953,2,0.844,0.713,0.974,,,,,,,,
1953,3,0.844,0.713,0.974,,,,,,,,
1953,4,0.844,0.713,0.974,,,,,,,,
1954,1,0.844,0.713,0.974,,,,,,,,
1954,2,0.844,0.713,0.974,,,,,,,,
1954,3,0.844,0.713,0.974,,,,,,,,
1954,4,0.844,0.713,0.974,,,,,,,,
1955,1,0.844,0.713,0.974,,,,,,,,
1955,2,0.844,0.713,0.974,,,,,,,,
1955,3,0.844,0.713,0.974,,,,,,,,
1955,4,0.844,0.713,0.974,,,,,,,,
1956,1,0.844,0.713,0.974,,,,,,,,
1956,2,0.844,0.713,0.974,,,,,,,,
1956,3,0.844,0.713,0.974,,,,,,,,
1956,4,0.844,0.713,0.974,,,,,,,,
1957,1,0.844,0.713,0.974,,,,,,,,
1957,2,0.844,0.713,0.974,,,,,,,,
1957,3,0.844,0.713,0.974,,,,,,,,
1957,4,0.844,0.713,0.974,,,,,,,,
1958,1,0.844,0.713,0.974,,,,,,,,
1958,2,0.844,0.713,0.974,,,,,,,,
1958,3,0.844,0.713,0.974,,,,,,,,
1958,4,0.844,0.713,0.974,,,,,,,,
1959,1,0.844,0.713,0.974,,,,,,,,
1959,2,0.844,0.713,0.974,,,,,,,,
1959,3,0.844,0.713,0.974,,,,,,,,
1959,4,0.844,0.713,0.974,,,,,,,,
1960,1,0.844,0.713,0.974,,,,,,,,
1960,2,0.844,0.713,0.974,,,,,,,,
1960,3,0.844,0.713,0.974,,,,,,,,
1960,4,0.844,0.713,0.974,,,,,,,,
1961,1,0.844,0.713,0.974,,,,,,,,
1961,2,1.018,0.883,1.153,,,,,,,,
1961,3,1.018,0.883,1.153,,,,,,,,
1961,4,1.018,0.883,1.153,,,,,,,,
1962,1,1.018,0.883,1.153,,,,,,,,
1962,2,1.018,0.883,1.153,,,,,,,,
1962,3,1.018,0.883,1.153,,,,,,,,
1962,4,1.018,0.883,1.153,,,,,,,,
1963,1,1.018,0.883,1.153,,,,,,,,
1963,2,1.018,0.883,1.153,,,,,,,,
1963,3,1.018,0.883,1.153,,,,,,,,
1963,4,1.018,0.883,1.153,,,,,,,,
1964,1,1.018,0.883,1.153,,,,,,,,
1964,2,1.018,0.883,1.153,,,,,,,,
1964,3,1.018,0.883,1.153,,,,,,,,
1964,4,1.018,0.883,1.153,,,,,,,,
1965,1,1.018,0.883,1.153,,,,,,,,
1965,2,1.018,0.883,1.153,,,,,,,,
1965,3,1.018,0.883,1.153,,,,,,,,
