year,qtr,ustar
1960,1,5.554019089
1960,2,5.478048223
1960,3,5.495366429
1960,4,5.715888933
1961,1,5.85838149
1961,2,5.961637028
1961,3,5.897594628
1961,4,5.728664724
1962,1,5.544135273
1962,2,5.58150806
1962,3,5.615364991
1962,4,5.602503942
1963,1,5.735857042
1963,2,5.719027964
1963,3,5.580568535
1963,4,5.644045994
1964,1,5.655932297
1964,2,5.568162465
1964,3,5.560001702
1964,4,5.576644806
1965,1,5.605881343
1965,2,5.562496342
1965,3,5.509727698
1965,4,5.480139837
1966,1,5.461184156
1966,2,5.457991024
1966,3,5.537226302
1966,4,5.54489317
1967,1,5.62299538
1967,2,5.632831576
1967,3,5.596906036
1967,4,5.708939315
1968,1,5.689055867
1968,2,5.656978213
1968,3,5.737665365
1968,4,5.741826889
1969,1,5.8053098
1969,2,5.858642429
1969,3,5.960170273
1969,4,5.932955812
1970,1,6.205886314
1970,2,6.427742979
1970,3,6.502117123
1970,4,6.789954284
1971,1,6.853794489
1971,2,6.886575433
1971,3,7.030579413
1971,4,7.000012695
1972,1,7.062587209
1972,2,7.117427179
1972,3,7.140411501
1972,4,7.160427852
1973,1,7.084010182
1973,2,7.209490353
1973,3,7.265048758
1973,4,7.320601178
1974,1,7.58451925
1974,2,7.651603963
1974,3,7.806330703
1974,4,8.146807229
1975,1,8.823516783
1975,2,8.979686344
1975,3,8.720929751
1975,4,8.754244115
1976,1,8.467712328
1976,2,8.431868734
1976,3,8.599916134
1976,4,8.625719123
1977,1,8.506597119
1977,2,8.35962615
1977,3,8.290716824
1977,4,8.244013025
1978,1,8.107673108
1978,2,7.949631283
1978,3,8.014911856
1978,4,7.967937505
1979,1,7.999149828
1979,2,7.887410767
1979,3,8.000235562
1979,4,8.011352625
1980,1,8.121227618
1980,2,8.664721529
1980,3,8.720809807
1980,4,8.526716415
1981,1,8.560622862
1981,2,8.460890634
1981,3,8.295317175
1981,4,8.525112656
1982,1,8.553356087
1982,2,8.550693066
1982,3,8.53475924
1982,4,8.680189525
1983,1,8.268445721
1983,2,8.129797761
1983,3,7.678022098
1983,4,7.274698851
1984,1,6.911747867
1984,2,6.584020074
1984,3,6.454780302
1984,4,6.266978281
1985,1,6.113233948
1985,2,6.039564731
1985,3,5.833876561
1985,4,5.544996528
1986,1,5.415273885
1986,2,5.323904163
1986,3,5.107619702
1986,4,5.043405764
1987,1,4.897651983
1987,2,4.77765021
1987,3,4.729065915
1987,4,4.728689301
1988,1,4.746570037
1988,2,4.736073542
1988,3,4.849325897
1988,4,4.882297221
1989,1,4.878984986
1989,2,4.946859975
1989,3,4.980620093
1989,4,5.134486268
1990,1,5.170604047
1990,2,5.159771684
1990,3,5.296942243
1990,4,5.371207262
1991,1,5.497609975
1991,2,5.538195307
1991,3,5.432329707
1991,4,5.441490929
1992,1,5.505923581
1992,2,5.525448162
1992,3,5.463737659
1992,4,5.307591503
1993,1,5.210512231
1993,2,5.237029049
1993,3,5.133653072
1993,4,5.078518802
1994,1,5.085482952
1994,2,4.92098024
1994,3,4.896046012
1994,4,4.73606485
1995,1,4.684993313
1995,2,4.830004007
1995,3,4.815219301
1995,4,4.781665471
1996,1,4.828146739
1996,2,4.888328578
1996,3,4.808893309
1996,4,4.932803785
1997,1,4.952187513
1997,2,4.933468515
1997,3,4.975384045
1997,4,4.978789132
1998,1,5.016254533
1998,2,4.902090979
1998,3,5.040937036
1998,4,5.015809876
1999,1,4.921136455
1999,2,5.015353403
1999,3,5.092201597
1999,4,5.08366005
2000,1,5.190837828
2000,2,5.187979205
2000,3,5.278878081
2000,4,5.196462009
2001,1,5.369085582
2001,2,5.337071262
2001,3,5.43382416
2001,4,5.675004863
2002,1,5.598514861
2002,2,5.636912808
2002,3,5.476508709
2002,4,5.525039006
2003,1,5.530348929
2003,2,5.618521457
2003,3,5.650933668
2003,4,5.472065607
2004,1,5.417780708
2004,2,5.423307335
2004,3,5.347028808
2004,4,5.322104317
2005,1,5.245981138
2005,2,5.126595719
2005,3,5.112901646
2005,4,5.165047735
2006,1,5.095728622
2006,2,5.150657118
2006,3,5.24929495
2006,4,5.193215777
2007,1,5.343181807
2007,2,5.353267073
2007,3,5.409229044
2007,4,5.450770733
2008,1,5.512384699
2008,2,5.639418299
2008,3,5.871088361
2008,4,6.012077906
2009,1,6.387405408
2009,2,6.60540965
2009,3,6.545243696
2009,4,6.607342237
2010,1,6.514542787
2010,2,6.413771411
2010,3,6.340084554
2010,4,6.407914935
2011,1,6.151795641
2011,2,6.178247255
2011,3,6.106530975
2011,4,5.864226054
2012,1,5.667759377
2012,2,5.633827844
2012,3,5.502534428
2012,4,5.353861939
2013,1,5.325597333
2013,2,5.214384408
2013,3,5.068640847
2013,4,4.953944959
2014,1,4.838307963
2014,2,4.624253745
2014,3,4.615814744
2014,4,4.408382741
2015,1,4.390687289
2015,2,4.336096736
2015,3,4.152816281
2015,4,4.183406138
2016,1,4.157991004
2016,2,4.237173898
2016,3,4.260727555
2016,4,4.251910782
2017,1,4.205761494
2017,2,4.201878478
2017,3,4.323991564
2017,4,4.30145278
2018,1,4.432754176
2018,2,4.533833408
2018,3,4.588033607
2018,4,4.776148272
2019,1,4.919168081
2019,2,4.873923091
2019,3,4.988597585
2019,4,4.893683059
2020,1,5.999884427
2020,2,6.476897374
2020,3,6.327712696
2020,4,6.782909844
2021,1,6.82061312
2021,2,7.121090304
2021,3,7.112649878
2021,4,7.011687297
2022,1,7.062065125
2022,2,7.091647905
2022,3,7.063079095
2022,4,7.011742615
2023,1,6.875695601
2023,2,6.800681596
2023,3,6.715028532
2023,4,6.56201753
